Date,Open,High,Low,Close,High_Low_Diff,Volume
17/09/2014,465.864014,468.174011,452.421997,457.334015,15.752014,21056800
18/09/2014,456.859985,456.859985,413.104004,424.440002,43.755981,34483200
19/09/2014,424.102997,427.834991,384.532013,394.79599,43.302978,37919700
20/09/2014,394.673004,423.29599,389.882996,408.903992,33.412994,36863600
21/09/2014,408.084991,412.425995,393.181,398.821014,19.244995,26580100
22/09/2014,399.100006,406.915985,397.130005,402.152008,9.78598,24127600
23/09/2014,402.09201,441.557007,396.196991,435.790985,45.360016,45099500
24/09/2014,435.751007,436.112,421.131989,423.204987,14.980011,30627700
25/09/2014,423.156006,423.519989,409.467987,411.574005,14.052002,26814400
26/09/2014,411.428986,414.937988,400.009003,404.424988,14.928985,21460800
27/09/2014,403.556,406.622986,397.372009,399.519989,9.250977,15029300
28/09/2014,399.471008,401.016998,374.332001,377.181,26.684997,23613300
29/09/2014,376.928009,385.210999,372.23999,375.46701,12.971009,32497700
30/09/2014,376.088013,390.97699,373.442993,386.944,17.533997,34707300
1/10/2014,387.427002,391.378998,380.779999,383.61499,10.598999,26229400
2/10/2014,383.988007,385.497009,372.946014,375.071991,12.550995,21777700
3/10/2014,375.181,377.695007,357.859009,359.511993,19.835998,30901200
4/10/2014,359.891998,364.487,325.885986,328.865997,38.601014,47236500
5/10/2014,328.915985,341.800995,289.29599,320.51001,52.505005,83308096
6/10/2014,320.389008,345.134003,302.559998,330.07901,42.574005,79011800
7/10/2014,330.584015,339.247009,320.481995,336.187012,18.765014,49199900
8/10/2014,336.115997,354.364014,327.187988,352.940002,27.176026,54736300
9/10/2014,352.747986,382.726013,347.687012,365.026001,35.039001,83641104
10/10/2014,364.687012,375.066986,352.963013,361.562012,22.103973,43665700
11/10/2014,361.362,367.19101,355.950989,362.299011,11.240021,13345200
12/10/2014,362.605988,379.433014,356.144012,378.549011,23.289002,17552800
13/10/2014,377.92099,397.226013,368.897003,390.414001,28.32901,35221400
14/10/2014,391.691986,411.697998,391.324005,400.869995,20.373993,38491500
15/10/2014,400.954987,402.22699,388.765991,394.77301,13.460999,25267100
16/10/2014,394.518005,398.807007,373.070007,382.556,25.737,26990000
17/10/2014,382.756012,385.477997,375.389008,383.757996,10.088989,13600700
18/10/2014,383.976013,395.15799,378.971008,391.441986,16.186982,11416800
19/10/2014,391.253998,393.938995,386.457001,389.54599,7.481994,5914570
